ID,Name,Energy,Loudness,Speechiness,Instrumentalness,Type,time_signature
4b55fVKJprjWWj4KhKgxMf,QuéHaydeMalo,0.603,-8.673,0.044,0,audio_features,4
2vHNqDJe1qvt1sroQfNHSI,AquelLugar,0.619,-4.706,0.036,0,audio_features,4
58QFhiWIdfVWsVqwyIKGpL,Quimbara,0.712,-5.578,0.0773,0.000179,audio_features,4
23Fw0qh3Onqn2276LiL2pT,Lloraras,0.709,-7.555,0.0472,0.000516,audio_features,4
00Ro1lnV3V6i87aY4t8Q43,Larebelion,0.755,-7.907,0.0735,2.55E-05,audio_features,4
4xsTdpKwm0jlanaF6CmBy2,DesnúdateMujer,0.729,-8.479,0.0341,5.20E-06,audio_features,4
702GLOtZ2I15Y5nFv4tHlc,DiaYNochePiensoEnTi,0.591,-8.151,0.0385,0,audio_features,4
236qXqcmitHCZ3SHoGZN8g,HeTratado,0.815,-6.173,0.074,4.09E-05,audio_features,4
383hkMdmA976zOTKRm6PLy,LaAgarroBajando,0.763,-6.861,0.0417,2.37E-06,audio_features,4
21d6EkqWaoA2hPDBUp2u8H,Detalles,0.77,-4.024,0.0533,3.70E-05,audio_features,4
3fwqOw3lzCle2zxamHMcQ2,TuConEl,0.741,-5.701,0.0504,0.00177,audio_features,4
09PGyODYYlVsL49N7TR914,PedroNavaja,0.61,-6.641,0.103,6.54E-06,audio_features,4
4ZVgDysve5dcNK6TX84t8e,ApiádatedeMi,0.629,-7.233,0.0406,0,audio_features,4
5pljibNmErU2Xe6C585pQI,EnBarranquillaMeQuedo,0.704,-9.213,0.0548,0.000239,audio_features,4
4pUmQqaZklcCOB3rFdWc7g,ValiólaPena-SalsaVersion,0.704,-5.801,0.0501,5.26E-06,audio_features,4
286NP8kXWzx2uHb5tr7TGv,AquélViejoMotel,0.828,-4.22,0.0286,0.000128,audio_features,4
2BOcua9pjhKuVtgN40AAHX,Decisiones,0.61,-9.824,0.0707,0,audio_features,4
2GBTcQdwU4pEEreRvAQkqI,EsaMujer,0.813,-5.148,0.0457,0,audio_features,4
0I0TcQ5h3waWFkeVP0U6GU,JuanitoAlimana,0.779,-6.403,0.0358,7.95E-06,audio_features,4
1q2J8KWeewoqOrZI4a65P9,UnveranoenNuevaYork,0.65,-8.897,0.0424,0.122,audio_features,4
5CWJHJq8Yv6vu1mzobwNHk,MIHistoriaEntreTusDedos(EnVivo),0.701,-8.278,0.039,1.43E-05,audio_features,4
4ggFCStKrv4NcHI0WJSJ3E,MalaMujer,0.699,-7.008,0.0401,1.07E-05,audio_features,4
1FcUm2UbruVWMqQxzDhRWH,SiempreSeré,0.693,-6.289,0.031,0,audio_features,4
0C279YvVWJcmFMSDtqIGfq,ElCantante,0.679,-4.899,0.0326,6.92E-06,audio_features,4
6PeMshTxlFVnJBq0Nx1WVP,MiLibertad,0.78,-6.343,0.0439,0,audio_features,4
01ScvlwZiCFj5oMsIlYo3V,AmorMioNoTeVayas,0.682,-8.041,0.0463,1.98E-05,audio_features,4
1TQyXfe1Bdjvq4pPFF6w3Q,SiTeVas,0.906,-3.113,0.0686,0,audio_features,4
29iVbAneOn1ZGW4zzrBlUb,CaliAjí,0.729,-10.788,0.0342,0.0758,audio_features,4
6irnHSTORkdgw13lwscY9d,MeFallaste,0.881,-6.221,0.0438,0.0209,audio_features,4
1NQpbF1vSX5pxCbUDk6ww5,Micaela,0.892,-6.888,0.053,0.00272,audio_features,4
1IcnHHfeAkdc88LybFWwb9,MeLiberé,0.875,-1.94,0.0407,0,audio_features,4
0TmPBXGRKA16lswGQuw9uR,Patria,0.622,-8.33,0.0465,0.000306,audio_features,4
1rEkj20tbAiILENLhFV5E4,UnCafeYUnPan,0.298,-12.61,0.0484,2.29E-05,audio_features,4
60HG3jOvvG7XITdy6F06el,FuegoEnEl23,0.604,-6.339,0.0353,0.000562,audio_features,4
5VhWU3h4X7PXSwfOZ1rKkE,TeConozcoBien,0.662,-7.935,0.0692,0,audio_features,4
2UpoA15YFW9ItA8BjXUOJg,EntreLaEspadayLaPared,0.726,-4.752,0.0363,2.74E-06,audio_features,4
3Rjc14RoRucHhEWvv3W3xW,LaVidaEsUnCarnaval,0.717,-6.191,0.0722,0.00107,audio_features,4
1uqmUXgzSFlIf3ZzoSeWN7,NoValeLaPena,0.883,-3.608,0.0432,0,audio_features,4
1r1eiM9qXEdvteunOAslIW,Plastico,0.545,-7.713,0.0563,2.56E-06,audio_features,4
7sBtgJ82TfsrVqL0peq5fC,DimeQueQuieres,0.89,-2.935,0.0461,0,audio_features,4
682K8AJvxcAaUWgjuQSmmN,SonidoBestial,0.691,-10.669,0.0784,0.028,audio_features,4
713wtUd2jlmCwCSXBBFvz5,Yambeque,0.75,-6.439,0.0405,0.0163,audio_features,4
7cByIwoiisDonLQ20KGLFh,HastaQueTeConoci,0.644,-8.932,0.0557,1.22E-06,audio_features,4
61p1Ha5D8jCY42BnocQu5j,TeEstanBuscando,0.65,-6.642,0.0403,5.05E-06,audio_features,4
36T4XY4vbxmw40XMJPe3zw,PequeñasCosas,0.614,-9.247,0.0378,0,audio_features,4
7nTOa4XIb8QeQtctTmkJOk,NoEsCasualidad,0.481,-11.13,0.0418,0,audio_features,4
3FwQKy8hoXd7VYDRQYZ9K7,EnLaIntimidad,0.558,-9.954,0.0332,0,audio_features,4
0UDABWcgVTZdZeZXPrfzcj,EnamoradoDeTi,0.624,-10.019,0.0369,0,audio_features,4
4oIP3qDfZDdqYXa6ConXCe,EnLaIntimidad,0.43,-13.961,0.0357,0,audio_features,4
0nBFB85JVZyd4I9xc4Wldz,QuieroMorirEnTuPiel,0.57,-13.81,0.0414,0,audio_features,4
6kpWSzcaLQc5wccq51Ysp9,DobleVida,0.559,-11.463,0.037,0,audio_features,4
6ltng2LyVfFU77PakYhjQN,ComoSeQueda,0.609,-10.693,0.0391,0.000118,audio_features,4
6edMEekESIWsXZrs8GRoOb,SiSupiera,0.478,-9.277,0.0321,0,audio_features,4
2DJbJD7NpSE6rNZelFRGOL,HastaAquíTeFuiFiel,0.703,-6.971,0.0348,0.000816,audio_features,4
0EjIBpgI4rbJjFnQ1kX8xd,Jamás,0.745,-6.953,0.0432,0.00256,audio_features,4
6TPzGDw79YNBzsL6FoqhiJ,MeFaltasTú,0.608,-8.532,0.0298,0.000137,audio_features,4
4SjBGbtJz77ximBiOZcIn6,NoMeAcostumbro,0.827,-6.174,0.0398,8.40E-06,audio_features,4
64QyipABOzDwoUFqaEnCvU,MiMediaMitad,0.674,-5.818,0.033,1.28E-06,audio_features,4
09Prj3ivNAC9Y80cP4eKnm,LunaNegra,0.705,-6.465,0.037,1.22E-05,audio_features,4
6bIjPtW3ogq0H8h8UXpUMi,Amiga,0.648,-7.895,0.0399,0,audio_features,4
0r8RjrJjZ9U3OxZpGsn3v8,Amorescomoelnuestro(Salsa),0.769,-7.002,0.0499,0.0992,audio_features,4
4hw32LMr5RoeKQl0Kvh20e,CasiunHechizo,0.715,-3.052,0.0409,1.18E-05,audio_features,4
7t5cskTjWtXVQ6h1yI69op,QuéHaydeMalo,0.61,-8.635,0.0439,0,audio_features,4
39WhdYh660k4nYnlwinr72,LaCura,0.451,-13.09,0.0478,3.30E-05,audio_features,4
48bPNZwVNRpmyk9OASd6Yo,LaRueda,0.772,-6.923,0.0365,3.71E-05,audio_features,4
37eRyUIEGS4WphfQE3MnYL,TuConEl,0.786,-5.704,0.051,0.00047,audio_features,4
42PDNfuSrrF5nkDrvCPIeN,ComoPodreDisimular,0.867,-5.998,0.0344,0.00234,audio_features,4
00TGhuANpxGNI84YOZl3i0,Uncasosocial,0.936,-1.746,0.0316,0.0215,audio_features,4
7n6x7jEd1mMwaDSevlJibZ,Esedía,0.869,-3.635,0.0424,2.92E-05,audio_features,4
0vVkF4i1QBigjfvRpaFamh,Miserable,0.637,-8.966,0.0563,0.0318,audio_features,4
3DUoJvRSNco6oNkMU8fNIh,UnaAventura,0.891,-8.519,0.0354,0.00212,audio_features,4
39Mv54BgOJwWDXcRqfZbPf,SeParecióTantoaTi-RadioVersion,0.906,-4.246,0.0455,2.71E-05,audio_features,4
0oHX2BlLsnbu3nnTeEUIuL,SinSentimientos,0.684,-7.733,0.0342,1.33E-06,audio_features,4
1YIoX2Rky3UfWYMsFXpdqW,HagamosLoQueDigaElCorazón,0.927,-6.865,0.0475,0.00512,audio_features,4
79zaVMuxG3wSkpOsqv0qMM,MiPueblo,0.547,-7.474,0.0286,0.00155,audio_features,4
5F9fsLJOvnMEAgFNBuO4xu,UnAltoenelCamino,0.712,-8.382,0.0656,0.00179,audio_features,4
48mJvgHLGvPkJpidwLcY9B,DueleMás,0.63,-8.996,0.0558,0.00494,audio_features,4
0h7JLvGMyPS1G2kQziaQgy,LaMagiaDeTusBesos,0.74,-9.471,0.0423,0.00295,audio_features,4
6v874fp15gtlCVHAsSFOPo,NiComoAmigaNiComoAmante,0.697,-5.987,0.0385,3.99E-05,audio_features,4
5nVhVru7xbiePYdY64PhU5,BuenaventurayCaney,0.819,-6.355,0.051,2.34E-06,audio_features,4
2mCMzJGNuuEIdLp6Pk8zld,LaNegraNoQuiere,0.847,-4.523,0.0455,0.0239,audio_features,4
0DNU5Y5YhZtgoVLOLwaDxH,AnaMilé,0.789,-5.161,0.0394,0.00122,audio_features,4
7MrncihmmsWvUf0iqqpHnW,BuscaPorDentro,0.847,-2.965,0.0317,0.00119,audio_features,4
0RiAQZP3knBbrz30CB2BTq,VALLEDELCAUCA,0.507,-10.939,0.0488,0.000286,audio_features,4
236qXqcmitHCZ3SHoGZN8g,HeTratado,0.815,-6.173,0.074,4.09E-05,audio_features,4
0gVmUkRX09cY5uNPSI74JC,TengoGanas,0.86,-3.631,0.0376,0,audio_features,4
4ZVgDysve5dcNK6TX84t8e,ApiádatedeMi,0.629,-7.233,0.0406,0,audio_features,4
7HZgFgvqDQpe4ZWIYwh0YV,PensamientoyPalabra,0.854,-5.238,0.0659,4.71E-05,audio_features,4
5P1B1MKcvNUELplnKZMvss,HayQuePonerelAlma,0.901,-2.999,0.0674,0,audio_features,4
5k5jSAt0sCMAxBZ4EkARsT,LaRazóndeMiVida,0.843,-5.135,0.0417,8.25E-06,audio_features,4
33KyLofurq1qZ6kpF6J9Hi,Volverás,0.936,-4.315,0.0504,2.84E-05,audio_features,4
1KWvINcM561J5oucjhN79h,ComounaEstrella,0.92,-4.191,0.0481,2.28E-05,audio_features,4
0RSkULVmUvt7RIi7lxmEAp,DileaElla,0.855,-5.011,0.0674,1.62E-06,audio_features,4
74zQXNx3Lm9rCVmegDNPeI,NuestraHistoria,0.765,-5.994,0.074,4.16E-05,audio_features,4
6WEAE0wW1qAHYgb3na48RX,LeHaréFeliz,0.814,-5.263,0.0626,1.43E-05,audio_features,4
1WrNAWijphDau8y9yZtPMW,NoHaceFaltaNada,0.846,-4.792,0.0584,0.000261,audio_features,4
0EsDXIvOEJ7cpq6AfCFCTP,FabricandoFantasías,0.755,-7.646,0.0457,0,audio_features,4
4D7uNT3o9lbtB2j0RwBY1V,CasiTeEnvidio,0.576,-10.355,0.1,0,audio_features,4
1qLtpRyYUzii9GeR1ZP7Ty,AquélViejoMotel,0.808,-4.172,0.0283,0.00011,audio_features,4
1IwIFav8Pfr5oijgcRQ7O9,MariaTeresayDanilo,0.692,-7.654,0.107,6.99E-05,audio_features,4
3CXhO7ZR4kZ0n5dW3v3ACK,EllaFeat.LuisEnrique,0.764,-5.201,0.139,0,audio_features,4
6QRCTspcvQdZ9IePIrRCIC,TuAmigoOTuAmante,0.856,-8.434,0.0411,0.000302,audio_features,4
2yWoQsrBQo51A1OW0j7ebs,BastoUnaMirada,0.868,-7.323,0.0371,0.0232,audio_features,4
7xoyac2gLTu03j1FuiJasE,ExcelenteAmante,0.812,-7.274,0.0301,0.000678,audio_features,4
2Culw4HebBbNUyLTrWAZew,PorTiNoMorire,0.733,-8.348,0.0442,0.000448,audio_features,4
68eoc5k0yObtOe5l4uR6l3,Sobredosis,0.789,-8.877,0.0414,0.00272,audio_features,4
0Mmrg7jBCfUz72joYix4Y8,TuLoMataste,0.641,-7.374,0.0465,0.0142,audio_features,4
0z6vax9velQpnFAxOLntqk,CuerpoACuerpo,0.76,-9.144,0.0383,0.000333,audio_features,4
3x9SXzH0cirH1lOD68YOR1,CuandoAparezcaElAmor,0.719,-9.305,0.0416,6.30E-05,audio_features,4
3tostxARnxYXXiGtwCub7s,ConflictoDeAmor,0.89,-4.273,0.0355,0.00233,audio_features,4
3Zs1VpaeMAdVoKVn25ae8H,Laquieroamorir,0.74,-8.111,0.0488,3.46E-05,audio_features,4
6O6g7PM12gyY4HUa4T9vaW,AVecesMePregunto,0.668,-7.717,0.0489,2.57E-06,audio_features,4
7ff9DBiBvYf7GWjQ150QJI,YaNoQuedaNada-ÁngelesVersion,0.91,-4.921,0.0421,0,audio_features,4
4Xo16TiM52l2co7BmH1jdQ,OhQueSera,0.791,-5.017,0.132,1.35E-06,audio_features,4
62gXTVBXkoOoKwK0kiikL7,YoNoSéMañana,0.821,-3.195,0.04,0,audio_features,4
1xXVMItKIyCnuaXDvhOnsg,SiSupieras,0.667,-11.993,0.0437,0.0995,audio_features,4
44BTChjatfkaF9N2XXoiNc,DeOro,0.766,-6.145,0.147,0,audio_features,4
2Z1rSgwXIe7M0S80sUJsGf,Perdon,0.862,-2.741,0.0486,0.00022,audio_features,4
23w07u3kp1Q2UmDKOKgOnC,Fragilidad,0.705,-8.047,0.0514,0.0125,audio_features,4
6jJ4BQJ06sy9YfLT9zQa8O,BellaYCruel,0.664,-7.817,0.0341,0.000645,audio_features,4
